Platform,Account,Post ID,Post URL,Caption,Published At,Media Type,Likes,Comments,Media URL,Thumbnail URL
instagram,eyadalzaro,3818230543192566459_36116147692,https://www.instagram.com/p/DT9FHL9iiq7/,"وَعد الحُر دين ♥️ Forever and always🤍💍

#explore #widing",2026-01-26T00:50:17.000Z,reel,384508,2206,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/621850848_18079813358203693_7418428928903699017_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_cat=102&ig_cache_key=MzgxODIzMDU0MzE5MjU2NjQ1OTE4MDc5ODEzMzU1MjAzNjkz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjQ2MDh4ODE5Mi5zZHIuQzMifQ%3D%3D&_nc_ohc=XhDxDwar2m0Q7kNvwHT04wg&_nc_oc=AdrUSyoY1LI2JoD2zzsIQmQI6atz9Ot8258kugd99sYCw7HgqPGZwDTL14D13WuT44g&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af2tiAbAeMeWzQRzDAGJQzPkAXBPQyBCgQLkaMxm0qEhYQ&oe=69E2C438,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/621850848_18079813358203693_7418428928903699017_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_cat=102&ig_cache_key=MzgxODIzMDU0MzE5MjU2NjQ1OTE4MDc5ODEzMzU1MjAzNjkz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjQ2MDh4ODE5Mi5zZHIuQzMifQ%3D%3D&_nc_ohc=XhDxDwar2m0Q7kNvwHT04wg&_nc_oc=AdrUSyoY1LI2JoD2zzsIQmQI6atz9Ot8258kugd99sYCw7HgqPGZwDTL14D13WuT44g&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af2tiAbAeMeWzQRzDAGJQzPkAXBPQyBCgQLkaMxm0qEhYQ&oe=69E2C438
instagram,eyadalzaro,3632264146125793837_36116147692,https://www.instagram.com/p/DJoZP8QNyot/,"Oslo , Norway 🇳🇴 We are one hand with 🇵🇸
 @eyadalzaro 📸

#oslo #norway",2025-05-14T10:47:30.000Z,carousel,162494,828,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.75761-15/498007891_18054368429203693_6721692530951834989_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=MzYzMjI2NDEyMzgwMzYyMjI4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5OS5zZHIuQzMifQ%3D%3D&_nc_ohc=sekczFFsfi0Q7kNvwHWowhb&_nc_oc=AdqEZWxglrRIPpmPTDWAE-XNKIP8o5p_jxE_uZgcl2Ol8Ek3iS4anokazspZH_U016E&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1cMUZ84BSICpfzzAnagPYKGkwxvLud-q95ye8KP9FLpw&oe=69E28EB2,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.75761-15/498007891_18054368429203693_6721692530951834989_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=MzYzMjI2NDEyMzgwMzYyMjI4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5OS5zZHIuQzMifQ%3D%3D&_nc_ohc=sekczFFsfi0Q7kNvwHWowhb&_nc_oc=AdqEZWxglrRIPpmPTDWAE-XNKIP8o5p_jxE_uZgcl2Ol8Ek3iS4anokazspZH_U016E&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1cMUZ84BSICpfzzAnagPYKGkwxvLud-q95ye8KP9FLpw&oe=69E28EB2
instagram,eyadalzaro,3410494267950733051_36116147692,https://www.instagram.com/p/C9UgneVtZb7/,"📍Norway - Oslo 🇳🇴
Rose demonstration for all killed in Gaza 🥀
@eyadalzaro 📸
مظاهرة الورد لجميع القتلى في غزة 🥀
#norway",2024-07-12T11:10:20.000Z,carousel,128749,1318,https://instagram.ftng4-1.fna.fbcdn.net/v/t39.30808-6/468934153_18038820911203693_944594004500158698_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=MzQxMDQ5NDI1OTQ5NTE3MTc0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5OS5zZHIuQzMifQ%3D%3D&_nc_ohc=ewdFM-trfVoQ7kNvwHDATDA&_nc_oc=AdqN4wUsW5YCY4seN5AKBSfV6VxWy8q8rxIARQFjPmD8KtSeSsDlCuuNBhyhPHAvgw4&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af2P8-iAObURoIC4HvPdfzvX2cgPxLvEOtvT9p_DMZ6Fjw&oe=69E2BBAA,https://instagram.ftng4-1.fna.fbcdn.net/v/t39.30808-6/468934153_18038820911203693_944594004500158698_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=MzQxMDQ5NDI1OTQ5NTE3MTc0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTc5OS5zZHIuQzMifQ%3D%3D&_nc_ohc=ewdFM-trfVoQ7kNvwHDATDA&_nc_oc=AdqN4wUsW5YCY4seN5AKBSfV6VxWy8q8rxIARQFjPmD8KtSeSsDlCuuNBhyhPHAvgw4&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af2P8-iAObURoIC4HvPdfzvX2cgPxLvEOtvT9p_DMZ6Fjw&oe=69E2BBAA
instagram,aksjonsgruppa.for.palestina,3873515120240646483_63434463397,https://www.instagram.com/p/DXBfXqmDFlT/,"Bli med på marsj for palestinske fanger 18. april kl. 14:30. Dette er ikke bare en markering – det er et rop om rettferdighet.

📍 Oslo S (Tigeren) → Nobel Fredssenter
🕘 Oppmøte 14:30

Over 10 000 palestinere sitter i israelske fengsler.
Blant dem er flere hundre barn og kvinner, mens flertallet er menn. Mange holdes uten tiltale eller rettssak. Familier venter, uten svar.

Bak hvert tall finnes et menneske. Et liv satt på pause. En stemme forsøkt stilnet.

Nå åpnes det også for bruk av dødsstraff.
Vi sier tydelig: Dødsstraff er uakseptabelt. Alltid. Ingen rettferdighet kan bygges på å ta liv.

Regjeringen uttrykker bekymring.
Vi sier: TOMME ORD REDDER IKKE LIV.
DET TRENGES HANDLING – SANKSJONER ISRAEL NÅ.

Stå sammen med oss. Vis at stillhet ikke er et alternativ.

Hvis du vil være med som ""gissel"" meld deg på via skjema som er lenket i bio hos @aksjonsgruppa.for.Palestina og delt i akajonskanalen 

Program ved Nobel fredssenter : Vi står 10 min stillhet i solidaritet med palestiske fanger .

Arrangør: Aksjonsgruppa for Palestina

Vil din organisasjon tilslutte seg? Send oss en dm eller skriv til aksjonsgruppa@proton.me 

Illustrasjon: @rula.mitani

PS! Kan du ikke være med på lørdag, men vil markere fangedagen likevel? Det er global aksjon 17-18. april og fredag 18/4 kl 1500 er det aksjon og demonstrasjon ved det nye regjeringskvartalet i regi av @palestinakomiteeninorge @palestinakomiteenioslo @dpnf_nor @fellesutvalgetforpalestina @kampanjenpim og @aksjonsgruppa.for.palestina

#freepalhostages",2026-04-12T07:30:59.000Z,image,1688,302,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/669803863_17954932860119398_7646032630712157285_n.webp?_nc_cat=101&ig_cache_key=Mzg3MzUxNTEyMDI0MDY0NjQ4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=7wSKSN_MBIcQ7kNvwHg2FZ_&_nc_oc=AdrXUkwdkU7itmkDSTUtXdV3Ojepc-OwbbX3BZizXjSscMHqA4eKncdpHXQ9IGQqO8I&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af09XEfVtAwzJKAmPAP8ocZ7IZy6BpNU7UpQMnEl4SMWBA&oe=69E2AABA,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/669803863_17954932860119398_7646032630712157285_n.webp?_nc_cat=101&ig_cache_key=Mzg3MzUxNTEyMDI0MDY0NjQ4Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=7wSKSN_MBIcQ7kNvwHg2FZ_&_nc_oc=AdrXUkwdkU7itmkDSTUtXdV3Ojepc-OwbbX3BZizXjSscMHqA4eKncdpHXQ9IGQqO8I&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af09XEfVtAwzJKAmPAP8ocZ7IZy6BpNU7UpQMnEl4SMWBA&oe=69E2AABA
instagram,eyadalzaro,3871376297436209131_36116147692,https://www.instagram.com/p/DW55DsojV_r/,"Worshippers Return to Al-Aqsa Mosque After 40 Days of Closure

For the first time in 40 days, worshippers were finally allowed to enter Al-Aqsa Mosque after a prolonged closure imposed by the Israeli occupation.

Scenes show Palestinians walking back into the mosque, reclaiming their right to pray in one of Islam’s holiest sites after weeks of restriction and denial.

A moment of resilience, faith, and return despite ongoing limitations and control.

لأول مرة منذ 40 يوماً، سُمح للمصلين بالدخول إلى المسجد الأقصى بعد إغلاق طويل فرضه الاحتلال الإسرائيلي.

مشاهد توثّق عودة الفلسطينيين إلى الأقصى، واستعادتهم لحقهم في الصلاة في أحد أقدس الأماكن الإسلامية بعد أسابيع من المنع والقيود.

لحظة تعبّر عن الصمود والإيمان والعودة، رغم استمرار التضييق والسيطرة",2026-04-09T08:41:30.000Z,reel,2132,55,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.71878-15/658603725_982580727573067_6440502436638290131_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzg3MTM3NjI5NzQzNjIwOTEzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=lRCe5EYz8uEQ7kNvwGz2HMv&_nc_oc=AdpHjbuNwD3-jCvRuehn7k6-VOqhhsR7-y6zWjAxWBXOOW5roHSHvlNoI9Bm9PEQt2o&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af2P0gcaxtsHc3fzAbyib9lakejHLPmaVcX8uk7thBu8Gw&oe=69E29A6F,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.71878-15/658603725_982580727573067_6440502436638290131_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzg3MTM3NjI5NzQzNjIwOTEzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=lRCe5EYz8uEQ7kNvwGz2HMv&_nc_oc=AdpHjbuNwD3-jCvRuehn7k6-VOqhhsR7-y6zWjAxWBXOOW5roHSHvlNoI9Bm9PEQt2o&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af2P0gcaxtsHc3fzAbyib9lakejHLPmaVcX8uk7thBu8Gw&oe=69E29A6F
instagram,eyadalzaro,3865545647026180951_36116147692,https://www.instagram.com/p/DWlLUkSDZNX/,"Blindfolded
Voiceless
Executed?",2026-04-01T07:36:12.000Z,carousel,3937,88,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/657874684_18086351558203693_4026503713583616764_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzg2NTU0NDA2NzgxMTk5NDYwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTg2My5zZHIuQzMifQ%3D%3D&_nc_ohc=siRjljqGiXAQ7kNvwH84ori&_nc_oc=AdqXrDgG0nM6otkIsZJ4YiRvpRIgnHgj6AnCZvaHDvUHDLYOYHweI5B43Kqy93BuOXc&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1MztvmwyyYp42hI72sr05ZsaEuoGKE3xnkzz8Vcq_ebg&oe=69E2961F,https://instagram.ftng4-2.fna.fbcdn.net/v/t51.82787-15/657874684_18086351558203693_4026503713583616764_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzg2NTU0NDA2NzgxMTk5NDYwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTg2My5zZHIuQzMifQ%3D%3D&_nc_ohc=siRjljqGiXAQ7kNvwH84ori&_nc_oc=AdqXrDgG0nM6otkIsZJ4YiRvpRIgnHgj6AnCZvaHDvUHDLYOYHweI5B43Kqy93BuOXc&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-2.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1MztvmwyyYp42hI72sr05ZsaEuoGKE3xnkzz8Vcq_ebg&oe=69E2961F
instagram,eyadalzaro,3856642027861755067_36116147692,https://www.instagram.com/p/DWFi32wisS7/,"EID MUBARAK
& FREE PALESTINE 

#explore",2026-03-20T00:48:00.000Z,image,302738,1408,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/656004129_18085028738203693_8613296716511455649_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzg1NjY0MjAyNzg2MTc1NTA2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4MTgyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=t86EX_qdxWsQ7kNvwFjAm5z&_nc_oc=AdrD-usldkhJhg3ZEoarW_E3KNVw6b8nbVHO0kJjt7iB2sw7BqJMdoV21YVlyoMnOXk&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af3n0rL-F605B3ye3fWbKeP2qfJrl77R7qeBBgaliRvdKw&oe=69E2B232,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/656004129_18085028738203693_8613296716511455649_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzg1NjY0MjAyNzg2MTc1NTA2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjEzNjV4MTgyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=t86EX_qdxWsQ7kNvwFjAm5z&_nc_oc=AdrD-usldkhJhg3ZEoarW_E3KNVw6b8nbVHO0kJjt7iB2sw7BqJMdoV21YVlyoMnOXk&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af3n0rL-F605B3ye3fWbKeP2qfJrl77R7qeBBgaliRvdKw&oe=69E2B232
instagram,alta.dar,3827418288451907227_200951966,https://www.instagram.com/p/DUduKeiAm6b/,"07.02.26 Oslo. NORWAY

Boycott Eurovision! ✊🏼

Hvis Israel skal inn må Norge ut! Stå opp for noe NrK!",2026-02-07T17:03:56.000Z,carousel,805,79,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/625936859_18562370716055967_7495648123868157910_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=MzgyNzQxNTU1MTkyMDIyNDQ2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=uY7j6eW3-z0Q7kNvwGPEdJQ&_nc_oc=AdoOjI7BtWorX2vxwnwUO_pCmpw1orqVtqhdBrnmaRXcx97-E_hO1Etqgx2TRwhmoQU&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1wS9nQ8ZNYImRcOdQHOf3jDkv3PGbU7MaJw6xyiX8xkg&oe=69E2B5AD,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/625936859_18562370716055967_7495648123868157910_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=MzgyNzQxNTU1MTkyMDIyNDQ2NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=uY7j6eW3-z0Q7kNvwGPEdJQ&_nc_oc=AdoOjI7BtWorX2vxwnwUO_pCmpw1orqVtqhdBrnmaRXcx97-E_hO1Etqgx2TRwhmoQU&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1wS9nQ8ZNYImRcOdQHOf3jDkv3PGbU7MaJw6xyiX8xkg&oe=69E2B5AD
instagram,fotograf.sverdrup,3822401740193143085_30961444289,https://www.instagram.com/p/DUL5iF5DBkt/,"Global movment for Palestine, 
Oslo - Norway ❤️‍🩹",2026-01-31T18:56:57.000Z,carousel,1939,73,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/625264763_18088922582036290_712412019080408945_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=MzgyMjM5OTEwMjM3MDI0MjM2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=cJmgwPWIsXoQ7kNvwGT7RVX&_nc_oc=Adq3WUSzCe_TC0SQoPRhGPPPjU5sA3jZydVpoHBLNFUx9_9bzqLc1SX7qFiJzGqUk80&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1fwEX6RwVmise1vvPWNl8xsBtohOYEj97iwyFihRA9mQ&oe=69E2B94A,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/625264763_18088922582036290_712412019080408945_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=MzgyMjM5OTEwMjM3MDI0MjM2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=cJmgwPWIsXoQ7kNvwGT7RVX&_nc_oc=Adq3WUSzCe_TC0SQoPRhGPPPjU5sA3jZydVpoHBLNFUx9_9bzqLc1SX7qFiJzGqUk80&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1fwEX6RwVmise1vvPWNl8xsBtohOYEj97iwyFihRA9mQ&oe=69E2B94A
instagram,alta.dar,3822387513977394224_200951966,https://www.instagram.com/p/DUL2TEsgtQw/,"Global aksjonsdag idag for alle Palestinske gisler som er ulovlig fengslet 🤍

Oslo skuffet ikke 🤍",2026-01-31T18:28:41.000Z,carousel,957,75,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/626306427_18559177399055967_6934162517901608884_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=MzgyMjM4MzUwOTkxODU4OTM1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=tD_aB67QvmAQ7kNvwFesdbl&_nc_oc=Adraz3ByuEZXiXI0y7ukbENKZ555vetJ8osF6jmT8yNtIUXxxlFn6rXUTnvHP6tBpTw&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1pnEKwdpv6f00WbfR__vLLt0lO7dR2ZnJORLKA7RZBIQ&oe=69E2B4FF,https://instagram.ftng4-1.fna.fbcdn.net/v/t51.82787-15/626306427_18559177399055967_6934162517901608884_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=MzgyMjM4MzUwOTkxODU4OTM1MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4MTkyMC5zZHIuQzMifQ%3D%3D&_nc_ohc=tD_aB67QvmAQ7kNvwFesdbl&_nc_oc=Adraz3ByuEZXiXI0y7ukbENKZ555vetJ8osF6jmT8yNtIUXxxlFn6rXUTnvHP6tBpTw&_nc_ad=z-m&_nc_cid=1404&_nc_zt=23&_nc_ht=instagram.ftng4-1.fna&_nc_gid=Mz4eFNg0AQC3A5LZ-iTU2Q&_nc_ss=7a32e&oh=00_Af1pnEKwdpv6f00WbfR__vLLt0lO7dR2ZnJORLKA7RZBIQ&oe=69E2B4FF
